top_k,feature,feature_label,histogram_gradient_boosting_rank,histogram_gradient_boosting_importance,logistic_regression_rank,logistic_regression_importance,random_forest_rank,random_forest_importance
20,post_month,Posting month,9,0.07999928925798812,7,0.13200192541085098,11,0.011553865505396025
20,tag__engineer,Tag: engineer,4,0.125816708690355,2,0.2753375274308741,5,0.020161209637590195
20,tag__english,Tag: english,11,0.060829487971132176,17,0.06458686498948134,18,0.005305914158076868
20,tag__javascript,Tag: javascript,5,0.12322074721740206,5,0.1517610001601016,8,0.01632523619876848
20,tag__marketing,Tag: marketing,6,0.10934179385072654,10,0.0847334784700969,7,0.017027862825935703
20,tag__non_tech,Tag: non tech,3,0.14819971032656987,4,0.16387963974986142,6,0.018198854205880584
20,tag__sales,Tag: sales,2,0.18564248369734473,6,0.14933547152879315,3,0.024591190627598458
20,tag__senior,Tag: senior,13,0.0487767803561893,19,0.06006002317872997,19,0.005154986189793084
20,tag__video,Tag: video,7,0.10550791083836462,11,0.0845204881217307,15,0.008587155723137672
20,tag_count,Number of tags,8,0.09472859534418458,1,0.34252747176712284,4,0.02269900175905685
