model,rank,feature,feature_label,importance_mean,importance_std,shap_mean_signed
Logistic Regression,1,tag_count,Number of tags,0.34252747176712284,0.34159994736106347,-0.1185308400962245
Logistic Regression,2,tag__engineer,Tag: engineer,0.2753375274308741,0.0802329093772144,0.011806926562215879
Logistic Regression,3,tag__technical,Tag: technical,0.202766996868736,0.1871595425111109,-0.019724416037814746
Logistic Regression,4,tag__non_tech,Tag: non tech,0.16387963974986142,0.21796369037140198,0.01154081970069447
Logistic Regression,5,tag__javascript,Tag: javascript,0.1517610001601016,0.15617946178960557,0.019259010172601638
Logistic Regression,6,tag__sales,Tag: sales,0.14933547152879315,0.16362079333273655,-0.013549077753354781
Logistic Regression,7,post_month,Posting month,0.13200192541085098,0.07444537363453417,0.005584887780639614
Logistic Regression,8,tag__support,Tag: support,0.13107712857588344,0.08854637427910016,-0.0044951004312717285
Logistic Regression,9,location_count,Number of location labels,0.12930964252018723,0.03488677767766985,0.0015857134056595763
Logistic Regression,10,tag__marketing,Tag: marketing,0.0847334784700969,0.09883017221705899,-0.006069733414763388
Logistic Regression,11,tag__video,Tag: video,0.0845204881217307,0.15585134130006884,-0.008221837365927145
Logistic Regression,12,tag__design,Tag: design,0.07542742974012263,0.07607073819879126,-0.017701080971591444
Logistic Regression,13,tag__system,Tag: system,0.07121187552769317,0.0916024729783649,0.018739967244129643
Logistic Regression,14,post_year,Posting year,0.06831622275846105,0.03619846041815824,0.003092164578687128
Logistic Regression,15,title__analyst,Title term: analyst,0.0667339350389276,0.14718032248311416,0.022854087342098466
Logistic Regression,16,tag__lead,Tag: lead,0.06536308122129177,0.05475959798863366,0.019674257750615987
Logistic Regression,17,tag__english,Tag: english,0.06458686498948134,0.1330558546216191,0.004325013280545671
Logistic Regression,18,tag__developer,Tag: developer,0.06266239702161695,0.03364066024255364,-0.012099735908308495
Logistic Regression,19,tag__senior,Tag: senior,0.06006002317872997,0.020266299561188313,0.0026388410886963886
Logistic Regression,20,tag__ruby,Tag: ruby,0.060054339866544175,0.10530732476857453,-0.031705707382958345
Logistic Regression,21,tag__golang,Tag: golang,0.059592718946449366,0.1095280825311981,-0.007514844759955762
Logistic Regression,22,tag__engineering,Tag: engineering,0.05275515728389805,0.0335967650886071,0.0064023249130944326
Logistic Regression,23,tag__legal,Tag: legal,0.05224801346230932,0.09674443055070774,0.001796699224976228
Logistic Regression,24,tag__software,Tag: software,0.051450211162938596,0.037133162654427926,-0.01399273525351887
Logistic Regression,25,tag__management,Tag: management,0.0509105916968526,0.0263578158809042,0.00183811709241781
Logistic Regression,26,tag__manager,Tag: manager,0.04868500925031153,0.050504025510015205,0.0007991629883504956
Logistic Regression,27,tag__analyst,Tag: analyst,0.048037000885329306,0.10594461839093172,-0.01645102770045527
Logistic Regression,28,tag__operational,Tag: operational,0.0472726732842766,0.07965961579077088,0.0007166869812655774
Logistic Regression,29,tag__growth,Tag: growth,0.041683390850473054,0.04067244919809576,0.00396694056410068
Logistic Regression,30,tag__financial,Tag: financial,0.04058485732264617,0.03699544647978192,-0.007475442574499478
Logistic Regression,31,tag__salesforce,Tag: salesforce,0.039129844202380824,0.1035320732403969,0.010913496101069727
Logistic Regression,32,tag__medical,Tag: medical,0.03821299762867856,0.10459577305870368,-0.004362214341173409
Logistic Regression,33,tag__saas,Tag: saas,0.036888542847498554,0.06943015941444428,-0.015166377032791086
Logistic Regression,34,tag__training,Tag: training,0.036513071351093565,0.04856322475828137,-0.002571343052893891
Logistic Regression,35,title__architect,Title term: architect,0.03440910432500177,0.11624362537757672,0.005871860806314313
Logistic Regression,36,title__stack,Title term: stack,0.03436263510709376,0.11263493146832312,0.010077019092989376
Logistic Regression,37,tag__go,Tag: go,0.03381893784950792,0.052203856489634916,0.00258028518689024
Logistic Regression,38,tag__api,Tag: api,0.03377759619386916,0.05686952839434107,0.00149723387384171
Logistic Regression,39,tag__quality_assurance,Tag: quality assurance,0.03126036083678669,0.057751205914200236,0.002364626387048935
Logistic Regression,40,tag__react,Tag: react,0.029917183119933525,0.046180998975100994,-0.002282592811795552
Logistic Regression,41,title__front,Title term: front,0.029430685735042744,0.07297223390990315,0.012833147849582493
Logistic Regression,42,description_chars_log,"Description length, log",0.029316945591866976,0.0613063545970178,-0.009668727234501379
Logistic Regression,43,tag__microsoft,Tag: microsoft,0.02923661171124292,0.060353162576936834,-0.0006040622254389154
Logistic Regression,44,tag__leader,Tag: leader,0.029190479193455902,0.06351736517076502,0.010951407610095991
Logistic Regression,45,tag__python,Tag: python,0.028997337505515433,0.048525062453877985,-0.0034357034959141505
Logistic Regression,46,title__lead,Title term: lead,0.028682795777287454,0.06477295470505057,0.007830716475858533
Logistic Regression,47,tag__operations,Tag: operations,0.028227741873773724,0.045294808542521804,0.008629404784781402
Logistic Regression,48,tag__travel,Tag: travel,0.028126720900621714,0.05337625606629489,0.011082539485299348
Logistic Regression,49,tag__crypto,Tag: crypto,0.027333796198516766,0.07448120972120348,0.004043460976111945
Logistic Regression,50,tag__health,Tag: health,0.027099887614665537,0.030175664350407392,0.008276579987027013
Logistic Regression,51,tag__recruiter,Tag: recruiter,0.026769514186821518,0.08623121151111203,-0.009167641844801892
Logistic Regression,52,tag__testing,Tag: testing,0.025123658357293032,0.05842304919446528,-0.0034321937646574815
Logistic Regression,53,title__end,Title term: end,0.024986566482287517,0.055107358954085854,-0.008557043315851838
Logistic Regression,54,tag__analytics,Tag: analytics,0.024806821443827648,0.045533933540638366,0.011359559324525103
Logistic Regression,55,title__developer,Title term: developer,0.024680442591888518,0.023670447666364048,-0.005095603048594588
Logistic Regression,56,title__backend,Title term: backend,0.024385456471028962,0.04514949385186033,0.000892586254430061
Logistic Regression,57,tag__full_time,Tag: full-time,0.022494694837622058,0.03465177838966842,0.0022405074539464218
Logistic Regression,58,location__india,Location: india,0.02224961250907633,0.07579472282444673,0.0025169244919769577
Logistic Regression,59,tag__executive,Tag: executive,0.022156727984728466,0.04101313877521668,0.00981627189196834
Logistic Regression,60,title__full,Title term: full,0.021627611255419964,0.08720030011062849,-0.012418681374578754
Logistic Regression,61,tag__code,Tag: code,0.02116194638541586,0.035222547474141386,0.0033203890772096267
Logistic Regression,62,tag__security,Tag: security,0.021040341510998036,0.0321323118776432,0.0034508526376988524
Logistic Regression,63,tag__backend,Tag: backend,0.020903831144689817,0.01783766104176561,0.004970573164939387
Logistic Regression,64,title__engineering,Title term: engineering,0.02035183350754154,0.0667098831399993,0.00596827962097997
Logistic Regression,65,title__frontend,Title term: frontend,0.017614928908292405,0.0816475758857343,-0.0059509894960447654
Logistic Regression,66,tag__devops,Tag: devops,0.016235225781638607,0.02726859495405729,-0.0013351336991479158
Logistic Regression,67,title__data,Title term: data,0.016091425636483594,0.036930480096991465,0.003380551604303271
Logistic Regression,68,title__software,Title term: software,0.01577285931586814,0.018372186395887207,0.0013933621303770407
Logistic Regression,69,posting_age_days,Posting age in days,0.015307004080634718,0.0076305116193117264,-0.0006513023062083585
Logistic Regression,70,tag__director,Tag: director,0.015037430676787018,0.030978716652977422,0.0010069708042491454
Logistic Regression,71,title__designer,Title term: designer,0.01502034494543776,0.048384237865532156,0.005143953748437594
Logistic Regression,72,tag__front_end,Tag: front end,0.014927536406976267,0.020883452949250366,-0.003217141467020749
Logistic Regression,73,tag__fintech,Tag: fintech,0.014733154322234262,0.04056701881492196,0.0005231944006475263
Logistic Regression,74,title__scientist,Title term: scientist,0.01467275303301852,0.06565445538301083,0.006128238140282297
Logistic Regression,75,title__sales,Title term: sales,0.014252096047996687,0.03909340359149595,-0.0013394827112778738
Logistic Regression,76,title__product,Title term: product,0.01423196250495849,0.026292498716771747,-0.0010765478445505668
Logistic Regression,77,title__support,Title term: support,0.01339423368522433,0.030914059795286872,0.0024442032272307315
Logistic Regression,78,title__web,Title term: web,0.01316593548567204,0.06456363931517953,-0.0012101043644919178
Logistic Regression,79,location__brazil,Location: brazil,0.012841541574791749,0.08189105197778844,-0.012841541574791749
Logistic Regression,80,tag__android,Tag: android,0.012777461174094866,0.05517558592236151,-0.006143010179853287
Logistic Regression,81,title__devops,Title term: devops,0.012446958455023114,0.042401357134693056,-0.0014080269745501178
Logistic Regression,82,title__director,Title term: director,0.012257084205551935,0.0511146490274081,0.0065197256412510285
Logistic Regression,83,tag__finance,Tag: finance,0.01221197707462943,0.025209194726470534,0.0002523135759221024
Logistic Regression,84,tag__linux,Tag: linux,0.01176237884227877,0.04591152812746989,0.007172182220901708
Logistic Regression,85,tag__voice,Tag: voice,0.01155396890110969,0.046584412108532584,0.006634346100460547
Logistic Regression,86,location__mexico,Location: mexico,0.010891731296198337,0.03612027416575409,0.0027643988061416876
Logistic Regression,87,tag__java,Tag: java,0.009829873664191765,0.022858581520702064,0.0013428789158731907
Logistic Regression,88,title__operations,Title term: operations,0.009825514837362053,0.026894182186386666,0.0011216341138541135
Logistic Regression,89,title__security,Title term: security,0.009738789836578245,0.032296771686118046,-0.0024717740701975296
Logistic Regression,90,title__customer,Title term: customer,0.009700770443589407,0.0317974919763373,-0.0028448007165951254
Logistic Regression,91,tag__git,Tag: git,0.00951183586870193,0.019120238599015026,-0.0021727543862516997
Logistic Regression,92,tag__consulting,Tag: consulting,0.009336607241558659,0.021771074950362474,-0.0010756459955712726
Logistic Regression,93,title__development,Title term: development,0.009004779997921722,0.041738372152529075,-0.0030421554047032834
Logistic Regression,94,title__senior,Title term: senior,0.008884223390334867,0.00432438743528795,0.0010184082669204115
