model,rank,feature,feature_label,importance_mean,importance_std
Logistic Regression,1,tag_count,Number of tags,0.028640065330033715,0.0028302214136305594
Logistic Regression,2,tag__technical,Tag: technical,0.013778935873040021,0.0026815399204670027
Logistic Regression,3,tag__sales,Tag: sales,0.013173574655488776,0.002483245674226634
Logistic Regression,4,tag__non_tech,Tag: non tech,0.011330680626343126,0.004139966809221062
Logistic Regression,5,tag__engineer,Tag: engineer,0.010199967862382012,0.001213484702422699
Logistic Regression,6,tag__video,Tag: video,0.008821517510125868,0.0013348516927295681
Logistic Regression,7,title__analyst,Title term: analyst,0.008227220957936524,0.0014677045805004821
Logistic Regression,8,tag__english,Tag: english,0.006229042822285387,0.003194503594997709
Logistic Regression,9,tag__javascript,Tag: javascript,0.0061025241561348436,0.0018942752093242007
Logistic Regression,10,title__stack,Title term: stack,0.00606254170372648,0.00044716154729162354
Logistic Regression,11,location_count,Number of location labels,0.005432701988002646,0.002873250207775858
Logistic Regression,12,title__full,Title term: full,0.004507871959997134,0.0010318552268896496
Logistic Regression,13,tag__support,Tag: support,0.0036528657388766503,0.001212503091579937
Logistic Regression,14,tag__ruby,Tag: ruby,0.0032409002015580577,0.001865200790002606
Logistic Regression,15,tag__marketing,Tag: marketing,0.002932077491696994,0.0013443760960828676
Logistic Regression,16,post_month,Posting month,0.0028868783867767034,0.002049499106714644
Logistic Regression,17,title__content,Title term: content,0.002731469614371725,0.0007083439038513242
Logistic Regression,18,title__web,Title term: web,0.002708000134721759,0.0004956721317723157
Logistic Regression,19,tag__saas,Tag: saas,0.002541477742663334,0.001086329553259442
Logistic Regression,20,tag__leader,Tag: leader,0.00250352505293594,0.0006691976219088256
Logistic Regression,21,tag__system,Tag: system,0.0022654263087178808,0.00128836674131664
Logistic Regression,22,title__architect,Title term: architect,0.002182477871823796,0.0005643183925449631
Logistic Regression,23,tag__analyst,Tag: analyst,0.0020401826471776463,0.001425156947623776
Logistic Regression,24,title__sales,Title term: sales,0.002036155909984257,0.0007842469958112695
Logistic Regression,25,title__frontend,Title term: frontend,0.0018270601719377517,0.0006952515201998614
Logistic Regression,26,tag__finance,Tag: finance,0.001795073094622827,6.987523513624995e-05
Logistic Regression,27,tag__senior,Tag: senior,0.00178201465978071,0.0007586461194029633
Logistic Regression,28,tag__management,Tag: management,0.0017027065761302158,0.000990662807654241
Logistic Regression,29,tag__travel,Tag: travel,0.0016439359516019862,0.0015375018726212176
Logistic Regression,30,title__customer,Title term: customer,0.0016277897330956674,0.0003858076678419769
Logistic Regression,31,title__front,Title term: front,0.0016204627853509217,0.0010181140493009159
Logistic Regression,32,title__security,Title term: security,0.00160386735240714,0.0005252476249957941
Logistic Regression,33,title__development,Title term: development,0.0015425717132030448,0.0005093412429057043
Logistic Regression,34,tag__investment,Tag: investment,0.0014166938072118402,0.0002789544332344603
Logistic Regression,35,title__technical,Title term: technical,0.0014086545947725737,0.0006103189611158203
Logistic Regression,36,tag__ui,Tag: ui,0.001278024993142483,0.00016113591635042801
Logistic Regression,37,tag__director,Tag: director,0.0012615575767597937,0.00028903376694895054
Logistic Regression,38,title__lead,Title term: lead,0.0012499299927923129,0.0005167187341579865
Logistic Regression,39,tag__android,Tag: android,0.0012418264897498716,0.00022999237219936317
Logistic Regression,40,description_chars_log,"Description length, log",0.0011723269453625858,0.001215909459485578
Logistic Regression,41,title__operations,Title term: operations,0.0011642138914730686,0.0002807972601943635
Logistic Regression,42,tag__manager,Tag: manager,0.0011554851732208011,0.0014385065310688822
Logistic Regression,43,tag__full_time,Tag: full-time,0.0009836164971304868,0.0003659599621435239
Logistic Regression,44,location__brazil,Location: brazil,0.0009779093431050805,0.00043677004918421286
Logistic Regression,45,title__product,Title term: product,0.0009640857603864609,0.0010805983068977348
Logistic Regression,46,title__marketing,Title term: marketing,0.0009362456679251249,8.118689997428244e-05
Logistic Regression,47,tag__software,Tag: software,0.0009139856376276789,0.0014102965518135785
Logistic Regression,48,tag__financial,Tag: financial,0.0008922012128709245,0.0006975913090351596
Logistic Regression,49,title__associate,Title term: associate,0.0008834766698630666,1.1823858895851753e-05
Logistic Regression,50,post_year,Posting year,0.0008515055664705488,0.0013963985448446994
Logistic Regression,51,tag__developer,Tag: developer,0.0008386282932943597,0.0014408969362984378
Logistic Regression,52,tag__executive,Tag: executive,0.000822117325204208,0.0005549396838955661
Logistic Regression,53,tag__content,Tag: content,0.0008140642833236456,0.00028886677463410104
Logistic Regression,54,tag__training,Tag: training,0.0007891910889347894,0.0007176626512536339
Logistic Regression,55,tag__operations,Tag: operations,0.0007528149091088713,0.0006767354432144868
Logistic Regression,56,tag__operational,Tag: operational,0.0007137354717500211,0.0006824452468876373
Logistic Regression,57,location__australia,Location: australia,0.0007001516109073439,0.00027913126414581975
Logistic Regression,58,location__germany,Location: germany,0.0006919478422385087,0.00047762956513570205
Logistic Regression,59,title__success,Title term: success,0.0006831732847239665,0.0002594877604727078
Logistic Regression,60,tag__crypto,Tag: crypto,0.0006580566248501526,0.0015131662117445766
Logistic Regression,61,tag__medical,Tag: medical,0.0005818242863278774,0.0011228376989037003
Logistic Regression,62,title__platform,Title term: platform,0.000544000845872176,0.0001612143782473782
Logistic Regression,63,tag__legal,Tag: legal,0.0005421436385041704,0.00036184742217880845
Logistic Regression,64,title_chars_log,"Title length, log",0.0005336581104141332,0.0007365681315585075
Logistic Regression,65,location__argentina,Location: argentina,0.0005081536641416973,0.0002476514424959106
